Source,SourceLong,Target,Dramatist,Play_Title,Play_Title_Short,Act,Scene,Line_Number,Speaker,Location,Line,Physical_Location,Location_Score,In_London_Or_London,Mentioned_as_Location,Purpose,Location1,Location_General,Location_Specific,Details
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.17,2104,Ben Jonson,The Alchemist,Alchemist,1,1,17,Subtle,Blackfriars,"Your master's Worship's house, here, in the Friars",TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,Blackfriars,Jonson lived in Blackfriars.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.17,1262,Ben Jonson,The Alchemist,Alchemist,1,1,17,Subtle,Lovewit's house,"Your master's Worship's house, here, in the Friars",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Lovewit's house,"Some scholars consider that Lovewit's house is, literally, the theatre, and that Jonson wrote the play with this specific playhouse in mind, not just as his stage but as the setting. In Act V, we do see the street before Lovewit's house on-stage, however. For the sake of this data, however, Lovewit's house will simply be labelled as 'Lovewit's house'."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.25,1275,Ben Jonson,The Alchemist,Alchemist,1,1,25,Face,Pie Corner,"But I shall put you in mind, sir: at Pie Corner",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Pie Corner,Near Blackfriars.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.31,1203,Ben Jonson,The Alchemist,Alchemist,1,1,31,Face,Artillery Lane,Like powder corns shot at th' Artillery Yard,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Artillery Lane,East of Bishopsgate.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.47,1262,Ben Jonson,The Alchemist,Alchemist,1,1,47,Subtle,Lovewit's house,Your master's house?,TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Lovewit's house,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.49,1262,Ben Jonson,The Alchemist,Alchemist,1,1,49,Subtle,Lovewit's house,"Yes, in your master's house.",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Lovewit's house,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.85,1212,Ben Jonson,The Alchemist,Alchemist,1,1,85,Subtle,Bridewell Prison,"Or an alehouse darker than Deaf John's, been lost",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Bridewell Prison,"Deaf John' was identified as an inmate of Bridewell Hospital (prison?), died by 1606."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.93,1270,Ben Jonson,The Alchemist,Alchemist,1,1,93,Face,Old St Paul's Cathedral,"Write thee up bawd in Paul's, have all thy tricks",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Old St Paul's Cathedral,"The St Paul's Cathedral of the modern day was constructed aftere the Old St Paul's Cathedral was demolished in 1668, following the Great Fire of London in 1666. The Old Cathedral was deteriorating since the 16th century, however."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.128,2104,Ben Jonson,The Alchemist,Alchemist,1,1,128,Doll,Blackfriars,Whom not a puritan in Blackfriars will trust,TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,Blackfriars,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.152,6005,Ben Jonson,The Alchemist,Alchemist,1,1,152,Subtle,Heaven,"Not I, by heaven - ",FALSE,(6) Not on Earth,FALSE,FALSE,Oath,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.180,6005,Ben Jonson,The Alchemist,Alchemist,1,1,180,Subtle,Heaven,"Who's that? One rings. To the winidow, Doll. Pray heaven",FALSE,(6) Not on Earth,FALSE,FALSE,Oath,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.183,2115,Ben Jonson,The Alchemist,Alchemist,1,1,183,Face,London,"O'the plague, he's safe from thinking toward London",TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.184,3212,Ben Jonson,The Alchemist,Alchemist,1,1,184,Face,Kent Hopyards,"Beside, he's busy at his hopyards now;",TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Kent,Kent Hopyards,"Hops being commonly grown in Kent at this time indicates Lovewit could be at a hopyard in Kent. It's outside London, at any rate."
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.191,2112,Ben Jonson,The Alchemist,Alchemist,1,1,191,Face,Holborn,"In Holborn, at the Dagger. He would have",TRUE,(2) General London Location,TRUE,TRUE,Location,England,London,Holborn,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.1.191,1241,Ben Jonson,The Alchemist,Alchemist,1,1,191,Face,Holborn Dagger tavern,"In Holborn, at the Dagger. He would have",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Holborn Dagger tavern,Tavern in Holborn famous for its pies.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.2.40,6005,Ben Jonson,The Alchemist,Alchemist,1,2,40,Subtle,Heaven,"Fore heaven, I scarce can think you are my friend.",FALSE,(6) Not on Earth,FALSE,FALSE,Oath,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.2.73,6005,Ben Jonson,The Alchemist,Alchemist,1,2,73,Subtle,Heaven,"Fore heaven, you do not apprerhend the loss",FALSE,(6) Not on Earth,FALSE,FALSE,Oath,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.3.59,5202,Ben Jonson,The Alchemist,Alchemist,1,3,59,Subtle,Strait of Hormuz,There is a ship now coming from Hormuz,TRUE,"(5) World, outside Europe",FALSE,TRUE,Location,Persia,Persian Gulf,Strait of Hormuz,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.4.3,2114,Ben Jonson,The Alchemist,Alchemist,1,4,3,Doll,Lambeth,The bawd of Lambeth.,TRUE,(2) General London Location,TRUE,FALSE,Descriptor,England,London,Lambeth,Location of prostitiutes and criminals.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.1.4.20,3216,Ben Jonson,The Alchemist,Alchemist,1,4,20,Subtle,Moorfields,"Reaching his dose, walking Moorfields for lepers",TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Marshland north of London.,Moorfields,Not in London at the time of writing. Now Finsbury Squre.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.2,5022,Ben Jonson,The Alchemist,Alchemist,2,1,2,Mammon,Peru,In novo orbe. Here's the rich Peru,TRUE,"(5) World, outside Europe",FALSE,FALSE,Nationality,Peru,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.4,5112,Ben Jonson,The Alchemist,Alchemist,2,1,4,Mammon,Ophir,Great Solomon's Ophir! He was sailing to't,TRUE,"(5) World, outside Europe",FALSE,TRUE,Location,Arabia,Ophir,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.17,1318,Ben Jonson,The Alchemist,Alchemist,2,1,17,Mammon,Woman's house/brothel (?),"To be displayed at Madam Augusta's, make",FALSE,(1) Specific London Location,TRUE,TRUE,Location,England,Presumably London,Woman's house/brothel (?),Noting as not physical because it may be a fictional brothel in London to which Mammon is referring.
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.33,1261,Ben Jonson,The Alchemist,Alchemist,2,1,33,Mammon,Lothbury street,"And buy their tin and lead up, and to Lothbury",TRUE,(1) Specific London Location,TRUE,TRUE,Location,England,London,Lothbury street,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.35,3001,Ben Jonson,The Alchemist,Alchemist,2,1,35,Mammon,Cornwall,"Yes, and I'll purchase Devonshire and Cornwall",TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Cornwall,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.35,3004,Ben Jonson,The Alchemist,Alchemist,2,1,35,Mammon,Devonshire,"Yes, and I'll purchase Devonshire and Cornwall",TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Devonshire,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.36,5011,Ben Jonson,The Alchemist,Alchemist,2,1,36,Mammon,East or West Indies,And make them perfect Indies! You admire now?,TRUE,"(5) World, outside Europe",FALSE,TRUE,Location,East or West Indies,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.1.70,4019,Ben Jonson,The Alchemist,Alchemist,2,1,70,Mammon,United Kingdom,Out o'the kingdom in three months,TRUE,(4) Europe,FALSE,TRUE,Location,United Kingdom,,,Kingdom of England?
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.3.14,6005,Ben Jonson,The Alchemist,Alchemist,2,3,14,Subtle,Heaven,"Which (heaven I call to witness, with yourself,",FALSE,(6) Not on Earth,FALSE,TRUE,Location,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.3.31,6005,Ben Jonson,The Alchemist,Alchemist,2,3,31,Subtle,Heaven,The glorified spirit. Thanks be to heaven,FALSE,(6) Not on Earth,FALSE,FALSE,Oath,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.3.62,6005,Ben Jonson,The Alchemist,Alchemist,2,3,62,Subtle,Heaven,And shows lac virginis. Blessed be heaven!,FALSE,(6) Not on Earth,FALSE,FALSE,Oath,Heaven,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.3.128,5013,Ben Jonson,The Alchemist,Alchemist,2,3,128,Surly,Egypt,As they do eggs in Egypt!,TRUE,"(5) World, outside Europe",FALSE,TRUE,Location,Egypt,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.3.320,5104,Ben Jonson,The Alchemist,Alchemist,2,3,320,Face,Bantam,"An empress, and yourself King of Bantam.",TRUE,"(5) World, outside Europe",FALSE,TRUE,Location,Java,Bantam,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.2.6.62,3002,Ben Jonson,The Alchemist,Alchemist,2,6,62,Drugger,Country spaces,And will go down again and die I'the country.,TRUE,"(3) England, outside London",FALSE,TRUE,Location,England,Country spaces,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.1.6,5105,Ben Jonson,The Alchemist,Alchemist,3,1,6,Ananias,Canaan,"And speaks the language of Canaan, truly.",TRUE,"(5) World, outside Europe",FALSE,FALSE,Descriptor,(now) Israel/Palestine,Canaan,,Region of the Southern Levant in the Ancient Near East
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.1.33,4117,Ben Jonson,The Alchemist,Alchemist,3,1,33,Tribulation,Rome,Against the menstrous cloth and rag of Rome.,TRUE,(4) Europe,FALSE,FALSE,Descriptor,Italy,Rome,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.1.36,4112,Ben Jonson,The Alchemist,Alchemist,3,1,36,Tribulation,Heidelberg,With the brethren's blessing of Heidelberg,TRUE,(4) Europe,FALSE,FALSE,Descriptor,Germany,Heidelberg,,German university town supposed to be a centre of alchemical experiment (and Protestant reformers).
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.1.40,4016,Ben Jonson,The Alchemist,Alchemist,3,1,40,Tribulation,Scotland,"And so a learnèd elder, one of Scotland",TRUE,(4) Europe,FALSE,TRUE,Location,Scotland,,,
Ben Jonson.Alchemist,Ben Jonson.Alchemist.3.2.23,4013,Ben Jonson,The Alchemist,Alchemist,3,2,23,Subtle,Netherlands,"Abroad, drawing the Hollanders, your friends",TRUE,(4) Europe,FALSE,FALSE,Nationality,Netherlands,,,
