Id,Label,Wider Location,Encompassing Location,Continent,LocationScore
1201,(Touchstone's?) Goldsmith's shop,London,England,Europe,1
1202,Artillery Company,London,England,Europe,1
1203,Artillery Lane,London,England,Europe,1
1204,Bartholomew Fair,London,England,Europe,1
1205,Bear Garden,London,England,Europe,1
1206,Bethlehem Royal Hospital,London,England,Europe,1
1207,Billingsgate dock,London,England,Europe,1
1208,Blackfriars Theatre,London,England,Europe,1
1209,Blue Anchor tavern,London,England,Europe,1
1210,Bow Church court,London,England,Europe,1
1211,Bramble's house,London,England,Europe,1
1212,Bridewell Prison,London,England,Europe,1
1213,Bucklersbury Street,London,England,Europe,1
1214,Budge Row,London,England,Europe,1
1215,Bunhill Fields,London,England,Europe,1
1216,Burnish's house,London,England,Europe,1
1217,Christ's Hospital,London,England,Europe,1
1218,Clerimont's house,London,England,Europe,1
1219,Cock Tavern,London,England,Europe,1
1220,Cold Harbour,London,England,Europe,1
1221,Cornhill Street,London,England,Europe,1
1222,Cow Lane/Smithfield Street,London,England,Europe,1
1223,Custom House Quay,London,England,Europe,1
1224,Cutbeard's barber shop,London,England,Europe,1
1225,Cutbeard's house,London,England,Europe,1
1226,Daw's house,London,England,Europe,1
1227,Drury Lane,London,England,Europe,1
1228,Eugenia's house,London,England,Europe,1
1229,Finsbury fields,London,England,Europe,1
1230,Fitzdottrel's house,London,England,Europe,1
1231,Fleet prison,London,England,Europe,1
1232,Fleet Street,London,England,Europe,1
1233,Friend's house near St Katherine's Hospital,London,England,Europe,1
1234,Furnifall's house,London,England,Europe,1
1235,Globe Theatre,London,England,Europe,1
1236,Goldsmith's Row,London,England,Europe,1
1237,Greenwich Park,London,England,Europe,1
1238,Hand and Shears tavern,London,England,Europe,1
1239,Heaven tavern near Westminster Hall,London,England,Europe,1
1240,Hell tavern near Westminster Hall,London,England,Europe,1
1241,Holborn Dagger tavern,London,England,Europe,1
1242,Holborn Hill,London,England,Europe,1
1243,Holborn Woolsack tavern,London,England,Europe,1
1244,Hole Ward of Wood Street Counter prison,London,England,Europe,1
1245,Hope Theatre,London,England,Europe,1
1246,Horse Pool,London,England,Europe,1
1247,Hoxton Eye-Bright tavern,London,England,Europe,1
1248,Hyde Park,London,England,Europe,1
1249,Inns of Court,London,England,Europe,1
1250,Justice Overdo's house,London,England,Europe,1
1251,King's Bench prison,London,England,Europe,1
1252,Knights' Ward of Wood Street Counter prison,London,England,Europe,1
1253,Lady Haughty's house,London,England,Europe,1
1254,Lady Tailbush's house,London,England,Europe,1
1255,La Foole's house,London,England,Europe,1
1256,Leatherhead's booth,London,England,Europe,1
1257,Littlewit's house,London,England,Europe,1
1258,Lord Mayor's Banqueting House,London,England,Europe,1
1259,London Bridge,London,England,Europe,1
1260,London Guildhall,London,England,Europe,1
1261,Lothbury street,London,England,Europe,1
1262,Lovewit's house,London,England,Europe,1
1263,Mermaid tavern,London,England,Europe,1
1264,Momford's house,London,England,Europe,1
1265,Morose's house,London,England,Europe,1
1266,Mulligrub's house,London,England,Europe,1
1267,Newgate Market,London,England,Europe,1
1268,Newgate Prison,London,England,Europe,1
1269,Old Fish Street,London,England,Europe,1
1270,Old St Paul's Cathedral,London,England,Europe,1
1271,Otter's house,London,England,Europe,1
1272,Pannier Alley,London,England,Europe,1
1273,Paris Garden,London,England,Europe,1
1274,Petticoat Lane,London,England,Europe,1
1275,Pie Corner,London,England,Europe,1
1276,Pimlico taverns,London,England,Europe,1
1277,Poultry Counter prison,London,England,Europe,1
1278,Puddle Wharf,London,England,Europe,1
1279,Puppet show booth,London,England,Europe,1
1280,Ruffians' Hall/West-Smithfield,London,England,Europe,1
1281,Seacoal Lane,London,England,Europe,1
1282,Security's house,London,England,Europe,1
1283,Sessions House in the Old Bailey,London,England,Europe,1
1284,Shatewe's house,London,England,Europe,1
1285,Silver Street,London,England,Europe,1
1286,Smock Alleys,London,England,Europe,1
1287,St Bartholomew's Hospital,London,England,Europe,1
1288,St Giles in the Fields Church,London,England,Europe,1
1289,St Katherine's Hospital,London,England,Europe,1
1290,St Mary Spital (?),London,England,Europe,1
1291,St Mary-le-bow,London,England,Europe,1
1292,St Sepulchre church,London,England,Europe,1
1293,Swan Inn,London,England,Europe,1
1294,Temple Church,London,England,Europe,1
1295,Thames River,London,England,Europe,1
1296,The Bear tavern,London,England,Europe,1
1297,The Cockpit,London,England,Europe,1
1298,The Mermaid tavern,London,England,Europe,1
1299,The Mitre tavern,London,England,Europe,1
1300,The New Exchange,London,England,Europe,1
1301,The Three Razors tavern(?),London,England,Europe,1
1302,The Three Cranes tavern,London,England,Europe,1
1303,Touchstone's house,London,England,Europe,1
1304,Touchstone's shop,London,England,Europe,1
1305,Tower of London,London,England,Europe,1
1306,Tower Wharf,London,England,Europe,1
1307,Trash's booth,London,England,Europe,1
1308,Trig Stairs,London,England,Europe,1
1309,Turnbull Street,London,England,Europe,1
1310,Twopenny Ward of Wood Street Counter prison,London,England,Europe,1
1311,Tyburn gallows,London,England,Europe,1
1312,Ursula's booth,London,England,Europe,1
1313,Vintry wharf,London,England,Europe,1
1314,Westminster Hall,London,England,Europe,1
1315,Whitehall Palace,London,England,Europe,1
1316,Whitehall Palace Council Chamber,London,England,Europe,1
1317,Windsor Castle,London,England,Europe,1
1318,Woman's house/brothel (?),London,England,Europe,1
1319,Wood Street Counter prison,London,England,Europe,1
2001,Any London tavern,London,England,Europe,2
2002,London bakeries,London,England,Europe,2
2003,London brothels,London,England,Europe,2
2004,London hospitals,London,England,Europe,2
2005,London streets,London,England,Europe,2
2006,London taverns,London,England,Europe,2
2007,London theatres,London,England,Europe,2
2008,London water fountains,London,England,Europe,2
2101,Aldgate,London,England,Europe,2
2102,Areas of London outside the walls,London,England,Europe,2
2103,Billingsgate,London,England,Europe,2
2104,Blackfriars,London,England,Europe,2
2105,Blackwall,London,England,Europe,2
2106,Cheapside,London,England,Europe,2
2107,Christ Church Parish,London,England,Europe,2
2108,Clerkenwell,London,England,Europe,2
2109,Eastcheap,London,England,Europe,2
2110,Eltham,London,England,Europe,2
2111,Greenwich,London,England,Europe,2
2112,Holborn,London,England,Europe,2
2113,Isle of Dogs,London,England,Europe,2
2114,Lambeth,London,England,Europe,2
